"","id","family_id","name","latitude","longitude"
"168","bero1242","atla1278","Berom",9.67037,8.81221
"169","besm1235","atla1278","Besme",9.59226,16.0938
"170","bete1261","atla1278","Bete (Yukubenic)",7.02128,9.74302
"171","bete1262","atla1278","Bete-Bendi",6.62037,9.20189
"172","beti1248","atla1278","Beti (Côte d'Ivoire)",5.26495,-3.28627
"173","bhel1238","atla1278","Bhele",0.24553,28.6681
"174","biaf1240","atla1278","Biafada",11.467,-15.1347
"175","bial1238","atla1278","Biali",11.0382,1.08259
"176","bidy1244","atla1278","Kanyaki-Kagbaaga-Kajoko Bidyogo",11.1097,-16.1497
"177","biji1246","atla1278","Bijim",9.54493,9.43876
"178","biky1238","atla1278","Bikya",6.74997,10.5333
"179","bila1255","atla1278","Bila",1.16839,28.7626
"180","bile1244","atla1278","Bile",8.90052,11.1907
"181","bimo1239","atla1278","Bimoba",10.4575,0.06121
"182","bina1270","atla1278","Bina (Nigeria)",10.2868,8.19726
"183","bini1246","atla1278","Bini",6.40701,5.70426
"184","binj1249","atla1278","Binji",-6.7,21.7
"185","birw1238","atla1278","Birwa",-22.17,28.33
"186","bish1246","atla1278","Bishuo",6.67251,9.79396
"187","bita1251","atla1278","Bitare",6.87398,11.3072
"188","bodo1272","atla1278","Bodo (Central African Republic)",6,26
"189","bofi1238","atla1278","Bofi",4.02043,17.3032
"190","bogu1241","atla1278","Boguru",4.49213,29.1344
"191","boko1261","atla1278","Bokoto",4.75111,16.6721
"192","boko1263","atla1278","Boko (Democratic Republic of Congo)",1.51612,18.8806
"193","boky1238","atla1278","Bokyi",6.10475,9.05875
"194","bolg1251","atla1278","Bolgo",10.9025,18.8076
"195","boli1255","atla1278","Bolia",-1.38362,18.09748
"196","bolo1261","atla1278","Kibala",-10.3511,15.0867
"197","bolo1262","atla1278","Boloki",0.83463,18.4555
"198","bolo1263","atla1278","Bolondo",2.46327,19.6181
"199","boma1246","atla1278","Boma Yumu",-3.27,17.45
"200","boma1250","atla1278","Boma Nkuu",-3.42,17.26
"201","boma1251","atla1278","Boma Nord",-3.01,16.92
"202","bomb1261","atla1278","Bomboli-Bozaba",1.99315,18.5131
"203","bomb1262","atla1278","Bomboma",2.40195,18.7841
"204","bomi1238","atla1278","Bomitaba",1.70044,17.3733
"205","bomk1234","atla1278","Bom-Kim",9.27518,-11.59696
"206","bomm1240","atla1278","Bom",9.27518,-11.597
"207","bomu1247","atla1278","Bomu",12.3816,-4.538
"208","bomw1238","atla1278","Bomwali",1.71005,15.9546
"209","bond1246","atla1278","Bondoukou Kulango",7.85945,-2.87379
"210","bond1247","atla1278","Bondei",-5.10749,38.5079
"211","bong1282","atla1278","Bon Gula",10.6577,19.5774
"212","bong1284","atla1278","Bongili",0.37063,16.6079
"213","bonj1234","atla1278","Impfondo",2.39823,17.6298
"214","bonk1243","atla1278","Bonkeng",4.66054,9.76306
"215","borg1235","atla1278","Borgu Fulfulde",9.801,3.988
"216","boro1283","atla1278","Boro",7.496728,0.362291
"217","boru1244","atla1278","Bo-Rukul",8.9352,8.90506
"218","boun1243","atla1278","Bouna Kulango",8.46011,-2.74627
"219","boza1238","atla1278","Bozaba",2.07295,18.6784
"220","buaa1245","atla1278","Bua",9.92491,18.0821
"221","buam1238","atla1278","Buamu",11.1687,-3.50303
"222","bube1242","atla1278","Bube",3.53638,8.68929
"223","bubi1250","atla1278","Bubi",-1.16762,12.32251
